skill_match_score,experience_gap_score,resume_completeness_score,behavioral_intent_score,market_demand_score,competition_score,shortlist_label
0.85,0.2,0.9,0.8,0.7,0.5,1
0.3,0.9,0.6,0.0,0.7,0.5,0
0.65,0.4,0.8,0.6,0.8,0.6,1
0.2,0.95,0.5,0.0,0.6,0.7,0
0.75,0.3,0.85,0.7,0.75,0.55,1
0.5,0.6,0.7,0.3,0.7,0.5,0
0.8,0.25,0.88,0.75,0.8,0.6,1
0.4,0.8,0.65,0.2,0.65,0.65,0
0.9,0.1,0.95,0.9,0.8,0.6,1
0.55,0.5,0.75,0.4,0.7,0.55,0
0.7,0.35,0.82,0.65,0.75,0.58,1
0.35,0.85,0.6,0.1,0.6,0.7,0
0.6,0.45,0.78,0.5,0.72,0.57,1
0.25,0.92,0.55,0.0,0.65,0.68,0
0.8,0.28,0.87,0.72,0.78,0.59,1
0.45,0.75,0.68,0.25,0.68,0.63,0
